Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Palacios de la Sierra;Burgos;4.8 (12:40);-2.5 (23:50);1.2;41 (15:40);22 (14:40);0.2;0.0;0.0;0.2
Monterrubio de la Demanda;Burgos;2.9 (13:10);-2.9 (23:50);0.0;39 (12:20);22 (12:10);0.2;0.0;0.0;0.2
Villamayor de los Montes;Burgos;;;;;;4.4;0.0;0.0;4.2
Burgos Aeropuerto;Burgos;4.9 (11:30);-1.4 (03:30);1.8;44 (15:10);30 (15:00);0.2;0.0;0.0;0.2
Santa Gadea de Alfoz;Burgos;4.6 (04:20);-1.2 (23:30);1.7;;;4.2;0.0;0.4;3.6
Sargentes de la Lora;Burgos;3.4 (10:50);-1.7 (22:30);0.9;54 (17:30);34 (17:40);2.8;0.0;0.0;0.4
Briviesca;Burgos;5.6 (07:00);0.2 (23:59);2.9;45 (14:50);25 (14:50);0.2;0.0;0.0;0.0
Medina de Pomar;Burgos;7.6 (04:40);0.1 (22:10);3.8;34 (09:50);15 (14:20);18.4;0.0;1.0;7.0
Miranda de Ebro;Burgos;7.2 (11:30);0.3 (02:30);3.7;29 (14:30);17 (14:30);1.4;0.0;0.2;0.2
Belorado;Burgos;5.3 (06:00);-0.3 (23:59);2.5;49 (15:00);30 (15:00);0.7;0.0;0.0;0.1
Puerto Rey;Cáceres;9.4 (15:30);1.6 (08:40);5.5;;;0.6;0.0;0.0;0.0
Navalvillar de Ibor;Cáceres;9.1 (16:10);1.1 (23:50);5.1;39 (17:20);18 (16:30);0.0;0.0;0.0;0.0
Madrigal de la Vera;Cáceres;13.7 (16:00);3.4 (07:50);8.5;53 (23:50);20 (19:00);3.4;0.0;0.0;0.0
Navalmoral de la Mata;Cáceres;14.1 (16:00);0.6 (08:40);7.4;63 (20:20);33 (20:20);0.0;0.0;0.0;0.0
Garganta de la Olla;Cáceres;12.2 (14:20);3.5 (20:30);7.8;69 (23:10);45 (17:00);0.8;0.0;0.0;0.0
Serradilla;Cáceres;12.4 (15:00);3.1 (08:30);7.7;49 (11:10);30 (12:30);0.0;0.0;0.0;0.0
Jaraicejo;Cáceres;12.0 (14:20);3.4 (10:20);7.7;47 (15:50);28 (15:50);0.0;0.0;0.0;0.0
Trujillo;Cáceres;12.8 (14:40);1.6 (04:30);7.2;46 (19:50);28 (16:30);0.0;0.0;0.0;0.0
Cáceres;Cáceres;13.0 (16:10);4.7 (06:40);8.8;47 (17:20);29 (17:00);0.0;0.0;0.0;0.0
Cañaveral;Cáceres;13.0 (15:40);2.9 (07:40);8.0;59 (11:50);45 (12:00);0.0;0.0;0.0;0.0
Nuñomoral;Cáceres;11.1 (17:00);0.3 (02:40);5.7;38 (16:50);20 (23:00);0.0;0.0;0.0;0.0
Guijo de Granadilla;Cáceres;12.2 (15:30);2.6 (01:30);7.4;47 (16:10);29 (16:10);0.0;0.0;0.0;0.0
Hervás;Cáceres;9.1 (16:10);2.6 (23:59);5.9;45 (17:40);23 (19:50);0.2;0.0;0.0;0.0
Montehermoso;Cáceres;13.0 (14:40);2.2 (08:30);7.6;50 (19:00);33 (16:00);0.0;0.0;0.0;0.0
Tornavacas;Cáceres;8.3 (15:00);0.7 (20:00);4.5;49 (08:20);33 (07:10);1.4;0.0;0.0;0.0
Piornal;Cáceres;9.9 (12:20);-1.5 (23:50);4.2;61 (23:10);37 (16:40);0.0;0.0;0.0;0.0
Plasencia;Cáceres;13.0 (16:10);3.9 (04:00);8.5;45 (13:30);17 (16:40);0.0;0.0;0.0;0.0
Coria;Cáceres;13.9 (14:40);2.8 (07:50);8.3;53 (16:40);30 (18:30);0.0;0.0;0.0;0.0
Torrecilla de los Angeles;Cáceres;12.3 (15:00);1.5 (00:20);6.9;66 (17:40);31 (06:00);0.0;0.0;0.0;0.0
Hoyos;Cáceres;12.0 (14:00);4.1 (23:59);8.0;73 (10:00);45 (09:50);0.0;0.0;0.0;0.0
Zarza La Mayor;Cáceres;13.3 (15:20);2.7 (09:00);8.0;56 (18:00);40 (16:50);0.0;0.0;0.0;0.0
Valverde del Fresno;Cáceres;12.1 (14:40);4.4 (23:50);8.3;58 (13:40);34 (21:10);0.0;0.0;0.0;0.0
Aliseda;Cáceres;13.9 (14:20);2.0 (04:50);7.9;41 (17:20);24 (14:40);0.0;0.0;0.0;0.0
Brozas;Cáceres;12.4 (14:20);3.4 (23:50);7.9;53 (20:40);40 (19:50);0.0;0.0;0.0;0.0
Valencia de Alcántara;Cáceres;13.2 (14:50);2.8 (02:50);8.0;45 (17:40);25 (17:10);0.0;0.0;0.0;0.0
Guadalupe;Cáceres;10.4 (15:20);3.2 (23:50);6.8;33 (17:10);15 (17:00);0.4;0.0;0.0;0.0
Cañamero;Cáceres;12.0 (16:20);3.7 (04:40);7.9;49 (17:20);26 (17:20);0.0;0.0;0.0;0.0
Zorita;Cáceres;12.8 (15:20);3.9 (03:50);8.4;56 (16:00);42 (15:50);0.0;0.0;0.0;0.0
Alcuescar;Cáceres;13.3 (15:50);3.5 (09:10);8.4;52 (17:50);30 (17:40);0.0;0.0;0.0;0.0
Chipiona;Cádiz;14.4 (16:00);7.5 (06:10);10.9;46 (23:50);28 (23:30);0.0;0.0;0.0;0.0
Rota, Base Naval;Cádiz;15.2 (15:00);7.4 (08:00);11.3;;;0.0;0.0;0.0;0.0
Grazalema;Cádiz;10.5 (13:00);4.9 (23:59);7.7;41 (16:30);14 (13:00);0.0;0.0;0.0;0.0
Olvera;Cádiz;12.7 (15:50);6.0 (08:00);9.3;52 (17:00);34 (16:30);0.0;0.0;0.0;0.0
El Bosque;Cádiz;14.9 (16:40);5.7 (08:40);10.3;30 (16:20);16 (16:50);0.0;0.0;0.0;0.0
San José del Valle;Cádiz;16.4 (13:30);7.7 (08:10);12.0;33 (16:10);15 (16:40);0.0;0.0;0.0;0.0
Jerez de la Frontera Aeropuerto;Cádiz;17.4 (13:20);4.0 (08:10);10.7;42 (16:30);28 (15:20);0.0;0.0;0.0;0.0
San Fernando;Cádiz;16.3 (13:10);10.1 (09:00);13.2;52 (23:40);32 (23:20);0.0;0.0;0.0;0.0
Cádiz;Cádiz;16.5 (12:30);10.5 (07:50);13.5;54 (23:50);34 (23:59);0.0;0.0;0.0;0.0
Medina Sidonia;Cádiz;16.3 (14:00);6.2 (07:20);11.2;43 (16:50);27 (16:50);0.0;0.0;0.0;0.0
Vejer de la Frontera;Cádiz;14.5 (13:50);10.3 (08:00);12.4;39 (17:30);21 (15:30);0.0;0.0;0.0;0.0
Barbate;Cádiz;;;;41 (22:40);32 (16:10);;;;0.0
Tarifa;Cádiz;15.2 (16:10);9.9 (06:40);12.5;54 (18:20);36 (18:10);0.3;0.1;0.0;0.0
Jimena de la Frontera;Cádiz;17.9 (14:20);5.3 (08:40);11.6;42 (16:40);25 (18:20);0.0;0.0;0.0;0.0
San Roque;Cádiz;18.5 (14:40);8.5 (09:00);13.5;44 (16:10);30 (17:10);;;;
