Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm)
Valencia de Don Juan;León;4.8 (15:00);-3.9 (07:10);0.5;46 (13:20);29 (16:40);0.0;0.0;0.0;0.0
Barrios de Luna, Miñera;León;0.8 (13:20);-3.7 (21:40);-1.5;51 (06:10);26 (03:40);3.0;0.0;0.0;2.8
Astorga;León;5.6 (16:10);-4.7 (23:59);0.5;35 (16:40);25 (16:40);0.0;0.0;0.0;0.0
Lagunas de Somoza;León;;;;;;;0.0;0.0;0.2
Bustillo del Páramo;León;4.5 (15:10);-3.6 (08:40);0.5;43 (15:10);27 (15:20);0.0;0.0;0.0;0.0
Martinet;Lleida;2.5 (13:40);-10.9 (08:30);-4.2;22 (15:50);15 (16:00);0.0;0.0;0.0;0.0
Lles de Cerdanya,Cap de Rec;Lleida;;;;14 (13:40);9 (13:40);;;;
La Seu d'Urgell;Lleida;7.5 (15:20);-4.1 (23:59);1.7;;;0.0;0.0;0.0;0.0
Josa i Tuixén;Lleida;1.4 (14:10);-10.0 (23:59);-4.3;26 (13:10);12 (13:20);0.0;0.0;0.0;0.0
Coll de Nargó;Lleida;6.7 (15:10);-3.1 (23:59);1.8;50 (10:10);31 (00:20);;;;
Torà;Lleida;6.4 (16:20);-2.3 (08:10);2.1;;;0.0;0.0;0.0;0.0
Artesa de Segre;Lleida;7.2 (16:20);-2.1 (23:59);2.5;;;0.0;0.0;0.0;0.0
Esterri d'Àneu;Lleida;1.3 (14:20);-5.1 (23:59);-1.9;29 (15:50);15 (16:00);;;0.0;0.6
Rialp, Port Ainé;Lleida;;;;58 (05:00);44 (18:50);;;;
Talarn;Lleida;6.3 (13:40);-3.1 (22:50);1.6;30 (19:40);18 (19:40);0.0;0.0;0.0;0.0
Llimiana;Lleida;9.3 (16:00);-1.9 (23:59);3.7;22 (14:50);14 (15:00);0.0;0.0;0.0;0.0
Granyanella;Lleida;6.3 (16:50);-1.7 (07:40);2.3;;;0.0;0.0;0.0;0.0
Tàrrega;Lleida;7.6 (16:20);-1.6 (08:00);3.0;25 (12:40);10 (12:30);;;;
Os de Balaguer;Lleida;7.5 (16:00);-2.3 (09:00);2.6;32 (16:20);20 (14:30);0.0;0.0;0.0;0.0
Mollerussa;Lleida;;;;;;;;;
Vall de Boí;Lleida;1.6 (14:50);-11.2 (23:20);-4.8;46 (06:00);25 (12:50);0.0;0.0;0.0;0.0
Lleida;Lleida;10.0 (15:40);-1.3 (08:10);4.4;30 (19:50);18 (21:00);0.0;0.0;0.0;0.0
La Pobla de Cérvoles;Lleida;5.1 (14:50);-2.6 (08:30);1.3;;;0.0;0.0;0.0;0.0
El Soleràs;Lleida;7.4 (16:00);-1.6 (06:50);2.9;;;0.0;0.0;0.0;0.0
Naut Aran, Cap de Vaquèira;Lleida;-10.0 (14:50);-15.9 (02:00);-12.9;29 (14:00);22 (09:10);;;;
Naut Aran, Arties;Lleida;-0.5 (14:40);-11.7 (03:40);-6.1;19 (15:30);10 (04:10);0.2;0.0;0.0;0.2
Bossòst;Lleida;2.3 (13:50);-7.4 (02:30);-2.6;25 (05:10);15 (05:00);0.0;0.0;0.0;0.0
Cervantes;Lugo;1.3 (14:10);-3.3 (22:50);-1.0;24 (03:10);11 (01:10);2.0;0.6;0.8;0.6
Ribadeo;Lugo;7.8 (17:30);3.3 (23:59);5.6;50 (00:10);27 (00:10);7.2;2.4;4.4;0.4
Mondoñedo;Lugo;6.1 (12:00);1.1 (23:40);3.6;;;26.6;6.2;7.0;12.8
Burela;Lugo;7.8 (11:40);4.6 (09:50);6.2;;;5.0;2.4;0.8;1.6
Lugo Aeropuerto;Lugo;4.3 (13:20);-0.5 (23:59);1.9;22 (16:10);9 (17:30);16.8;3.6;7.8;4.2
Lugo;Lugo;4.5 (18:00);-0.6 (23:59);1.9;23 (14:30);9 (15:00);9.6;0.4;2.4;6.4
O Páramo;Lugo;4.8 (13:50);-0.5 (23:59);2.2;;;3.2;0.4;2.6;0.2
Becerreá;Lugo;-1.1 (15:00);-3.5 (19:50);-2.3;39 (02:40);13 (00:40);5.0;0.0;0.0;4.8
O Saviñao;Lugo;3.7 (14:40);-0.4 (23:50);1.7;;27 (16:30);2.0;0.4;1.6;0.0
Folgoso do Courel;Lugo;5.2 (15:10);-0.8 (04:00);2.2;;;0.2;0.0;0.2;0.0
Monforte de Lemos;Lugo;9.2 (15:00);-1.8 (04:50);3.7;36 (13:20);15 (14:10);0.4;0.0;0.4;0.0
Puerto de Navacerrada;Madrid;-7.3 (15:00);-9.3 (23:10);-8.3;53 (07:30);27 (00:40);0.6;0.0;0.0;0.6
Aranjuez;Madrid;7.3 (13:30);-5.3 (08:20);1.0;26 (13:40);13 (13:20);0.0;0.0;0.0;0.0
Rascafría;Madrid;2.8 (13:10);-8.6 (23:59);-2.9;35 (00:10);12 (15:20);3.4;0.0;0.6;2.8
Buitrago del Lozoya;Madrid;;;;;;;;0.0;
Madrid, El Goloso;Madrid;5.2 (13:20);-4.9 (05:30);0.1;33 (11:10);15 (13:00);0.0;0.0;0.0;0.0
Madrid Aeropuerto;Madrid;6.0 (13:40);-3.1 (08:00);1.5;33 (15:10);23 (15:00);0.0;0.0;0.0;0.0
Alcala de Henares;Madrid;5.6 (14:00);-5.7 (06:40);0.0;31 (16:30);22 (16:20);0.0;0.0;0.0;0.0
Arganda del Rey;Madrid;6.4 (14:20);-4.3 (07:40);1.0;28 (15:20);15 (15:20);0.0;0.0;0.0;0.0
Colmenar Viejo;Madrid;2.7 (15:10);-3.4 (05:00);-0.4;66 (17:20);19 (13:40);0.0;0.0;0.0;0.0
Madrid, Ciudad Universitaria;Madrid;6.8 (13:50);-3.8 (07:30);1.5;34 (13:30);17 (12:20);0.0;0.0;0.0;0.0
Pozuelo de Alarcón;Madrid;7.2 (14:50);-5.4 (05:40);0.9;;;0.0;0.0;0.0;0.0
Madrid, Retiro;Madrid;6.3 (14:00);-1.3 (07:30);2.5;33 (19:30);17 (18:40);0.0;0.0;0.0;0.0
Tielmes;Madrid;;;;;;;0.0;;0.0
Puerto Alto del León;Madrid;-4.9 (12:40);-8.0 (23:40);-6.5;35 (07:40);20 (01:00);0.0;0.0;0.0;0.0
Alpedrete;Madrid;4.4 (16:30);-2.9 (04:30);0.8;41 (08:50);18 (09:50);0.0;0.0;0.0;0.0
Torrelodones;Madrid;5.1 (13:30);-4.8 (06:20);0.1;21 (16:50);10 (11:30);0.0;0.0;0.0;0.0
Rozas de Puerto Real;Madrid;3.0 (16:10);-1.9 (06:00);0.6;;;0.0;0.0;0.0;0.0
Robledo de Chavela;Madrid;5.3 (13:00);-3.5 (23:40);0.9;;;0.0;0.0;0.0;0.0
Ronda Instituto;Málaga;6.5 (15:40);-0.3 (05:30);3.1;17 (16:50);8 (17:40);0.0;0.0;0.0;0.0
Cortes de la Frontera;Málaga;8.4 (15:10);0.4 (06:40);4.4;13 (15:40);4 (14:50);0.8;0.0;0.0;0.0
Alpandeire;Málaga;7.1 (15:30);0.6 (05:00);3.8;12 (09:10);7 (05:10);0.0;0.0;0.0;0.0
Gaucín;Málaga;6.0 (14:00);1.1 (05:20);3.6;15 (02:50);11 (07:10);1.2;0.0;0.0;0.0
Manilva;Málaga;10.4 (16:20);5.1 (04:00);7.7;25 (07:40);17 (07:40);0.0;0.0;0.0;0.0
Estepona;Málaga;11.6 (16:40);4.9 (05:40);8.3;19 (16:10);10 (16:10);;0.0;;0.0
Benahavis;Málaga;8.3 (14:30);3.0 (04:50);5.7;21 (18:40);10 (18:20);0.0;0.0;0.0;0.0
Marbella, Puerto;Málaga;12.8 (17:00);6.2 (07:00);9.5;23 (14:40);13 (14:40);0.0;0.0;0.0;0.0
Marbella;Málaga;12.3 (16:40);7.2 (04:40);9.8;28 (11:10);22 (11:10);0.0;0.0;0.0;0.0
Fuengirola;Málaga;12.8 (16:50);7.0 (07:30);9.9;18 (07:20);11 (07:20);0.0;0.0;0.0;0.0
Torremolinos;Málaga;13.2 (17:20);6.1 (08:10);9.6;23 (05:30);11 (03:20);0.0;0.0;0.0;0.0
Antequera;Málaga;8.5 (16:50);-1.4 (08:40);3.6;18 (19:50);6 (08:10);0.0;0.0;0.0;0.0
Álora;Málaga;10.4 (16:30);2.1 (08:10);6.2;21 (23:40);11 (23:40);0.0;0.0;0.0;0.0
Coín;Málaga;;;;;;;;;
Málaga Aeropuerto;Málaga;13.0 (17:20);2.5 (07:50);7.8;26 (07:40);19 (04:30);0.0;0.0;0.0;0.0
Málaga, Centro Meteorológico;Málaga;12.2 (17:30);4.5 (08:30);8.3;23 (08:00);13 (08:40);0.0;0.0;0.0;0.0
Málaga, Puerto;Málaga;14.0 (17:30);7.0 (08:00);10.5;22 (09:00);11 (14:10);0.0;0.0;0.0;0.0
Rincon de la Victoria;Málaga;17.1 (17:30);6.8 (01:00);12.0;;;0.0;0.0;0.0;0.0
Vélez-Málaga;Málaga;13.8 (13:20);5.1 (23:40);9.5;;;0.0;0.0;0.0;0.0
Algarrobo;Málaga;12.8 (14:30);4.6 (00:50);8.7;19 (15:10);11 (09:50);0.0;0.0;0.0;0.0
Nerja;Málaga;13.0 (14:30);7.0 (02:10);10.0;24 (04:50);16 (04:50);0.0;0.0;0.0;0.0
Fuente de Piedra;Málaga;9.4 (16:10);-0.5 (07:40);4.4;26 (17:40);17 (17:40);0.0;0.0;0.0;0.0
Melilla;Melilla;14.6 (13:10);6.1 (08:40);10.4;48 (00:50);30 (01:50);9.4;9.4;0.0;0.0
Águilas;Murcia;12.7 (16:00);3.1 (06:50);7.9;39 (01:50);22 (00:10);4.0;0.0;0.0;0.0
Mazarrón;Murcia;15.4 (14:30);5.1 (05:00);10.2;39 (06:30);24 (08:30);0.0;0.0;0.0;0.0
Cartagena;Murcia;13.1 (14:10);1.4 (08:50);7.3;27 (17:30);13 (14:50);0.0;0.0;0.0;0.0
Fuente Álamo de Murcia;Murcia;13.1 (15:10);3.2 (07:40);8.2;;;0.0;0.0;0.0;0.0
Torre-Pacheco;Murcia;13.1 (15:40);2.8 (08:20);8.0;25 (11:10);13 (00:30);0.0;0.0;0.0;0.0
San Javier Aeropuerto;Murcia;13.4 (13:30);3.1 (23:59);8.2;32 (05:10);23 (10:30);0.0;0.0;0.0;0.0
Moratalla;Murcia;4.8 (14:50);-2.2 (04:00);1.3;;;0.0;0.0;0.0;0.0
Caravaca de La Cruz;Murcia;8.3 (13:10);-2.1 (08:30);3.1;32 (00:20);12 (17:20);0.0;0.0;0.0;0.0
Calasparra;Murcia;9.3 (16:10);0.5 (07:10);4.9;30 (14:40);15 (14:40);0.0;0.0;0.0;0.0
Bullas;Murcia;;;;;;;0.0;0.0;
Jumilla;Murcia;9.3 (16:10);-1.0 (07:30);4.2;22 (10:50);13 (15:10);0.0;0.0;0.0;0.0
Cieza;Murcia;11.0 (16:10);0.3 (08:20);5.7;28 (12:30);17 (12:20);0.0;0.0;0.0;0.0
Archena;Murcia;12.1 (16:50);4.4 (07:50);8.3;;;0.0;0.0;0.0;0.0
Mula;Murcia;11.9 (17:00);2.7 (23:59);7.3;35 (11:30);24 (11:30);0.0;0.0;0.0;0.0
Murcia;Murcia;13.7 (17:10);3.8 (04:50);8.7;32 (11:10);20 (11:10);0.0;0.0;0.0;0.0
Caravaca de La Cruz, Los Royos;Murcia;6.1 (16:00);-3.1 (03:50);1.5;;;0.0;0.0;0.0;0.0
Lorca, Zarcilla de Ramos;Murcia;10.9 (16:30);-0.1 (06:30);5.4;33 (05:20);22 (07:20);0.0;0.0;0.0;0.0
Lorca;Murcia;12.2 (15:50);0.4 (07:20);6.3;22 (16:10);9 (16:10);0.0;0.0;0.0;0.0
Puerto Lumbreras;Murcia;11.6 (15:50);1.3 (08:40);6.5;;;0.0;0.0;0.0;0.0
Totana;Murcia;12.3 (15:10);1.1 (08:10);6.7;22 (00:20);8 (14:40);0.0;0.0;0.0;0.0
